anime_id,related_anime_id,relation_type
10152,6045,Full story
10152,9656,Sequel
21575,17187,Character
36636,6721,Prequel
23985,382,Prequel
37303,33248,Prequel
37303,37304,Sequel
37303,37308,Spin-off
8302,7148,Parent story
24833,19759,Alternative version
24833,28405,Prequel
24833,30654,Sequel
24833,33511,Other
24833,33513,Summary
10719,10897,Prequel
10719,14027,Side story
10719,14967,Sequel
4939,3572,Alternative version
4939,28809,Side story
6713,210,Other
8918,6201,Other
33566,34443,Full story
5153,10751,Summary
23575,4935,Parent story
33164,31442,Parent story
33164,33075,Other
36474,31765,Prequel
21437,24469,Sequel
21437,31105,Summary
30191,23199,Parent story
4360,10280,Sequel
14817,8917,Prequel
7448,7449,Side story
9260,31757,Sequel
31676,3366,Other
9759,1391,Full story
27915,9905,Alternative version
2255,1991,Spin-off
2255,2256,Sequel
2255,17002,Summary
27495,1960,Parent story
8934,12857,Summary
21963,1960,Parent story
5189,8956,Sequel
36782,34006,Parent story
3909,9885,Sequel
3909,10200,Side story
3909,10203,Side story
3909,34700,Other
19961,10607,Sequel
19961,11268,Alternative version
27525,20509,Prequel
27525,31056,Side story
27525,31706,Sequel
33480,7461,Alternative version
33480,7547,Alternative version
33228,24835,Prequel
37449,33286,Prequel
6312,3000,Prequel
21473,14407,Prequel
21473,24543,Sequel
1088,194,Prequel
1088,474,Sequel
1088,1089,Alternative version
1088,1504,Summary
1088,5051,Other
1088,31494,Other
36611,30989,Parent story
90,80,Parent story
90,91,Sequel
90,2273,Sequel
90,3626,Summary
90,22435,Other
20555,10519,Character
20555,35329,Other
15769,12367,Other
25687,2398,Prequel
25687,32108,Sequel
1404,2208,Sequel
998,999,Sequel
998,3620,Side story
998,3952,Alternative version
27821,11741,Prequel
27821,22297,Sequel
30648,8964,Prequel
30648,25891,Sequel
7062,6984,Prequel
7062,9563,Sequel
7062,28915,Summary
10056,1960,Parent story
2493,1065,Alternative version
2493,2492,Prequel
2649,7045,Other
33378,3335,Alternative version
33378,35228,Sequel
6392,7897,Spin-off
6392,9744,Spin-off
36542,37839,Other
3883,34620,Alternative setting
14289,16868,Sequel
14289,17409,Side story
936,20,Parent story
21973,1960,Parent story
32281,33902,Other
36725,11597,Other
3044,971,Alternative version
3044,2747,Alternative version
3044,17959,Alternative version
3044,17965,Alternative version
3044,33371,Prequel
18329,18311,Prequel
18329,18331,Sequel
30921,30920,Other
30921,30922,Other
30921,30923,Other
30355,31909,Sequel
20423,16009,Parent story
539,538,Alternative version
539,696,Alternative version
539,1101,Alternative setting
539,1133,Alternative setting
539,24699,Alternative setting
539,1133,Spin-off
539,5781,Spin-off
539,1146,Sequel
539,2725,Side story
18295,16668,Prequel
36858,28537,Other
25053,3437,Parent story
2038,2080,Spin-off
2038,5246,Spin-off
2038,8431,Side story
2038,8443,Sequel
2038,33358,Summary
16702,2471,Parent story
15649,10278,Spin-off
15649,15781,Prequel
15649,18781,Side story
15649,21073,Sequel
19687,16756,Prequel
19687,19781,Sequel
19687,37187,Alternative version
31,30,Parent story
1364,235,Parent story
247,647,Alternative version
247,1904,Sequel
247,1905,Sequel
247,1906,Side story
247,1907,Side story
247,30145,Summary
